Products_link,Products_Model,Products_details,Price_regular,Price_offers,Currency,Known_price
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-xs-max-app-xsm256gr3,Apple iPhone Xs Max,2018 - 6 cores - 6.5 inch - 256GB - space grey - APP-XSM256GR3,899,799,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-oppo-a16s-5996496,Oppo A16s,2021 - 8 cores - 6.52 inch - 64GB - Black - 5996496,179.38,169,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-huawei-y5-51093shg,Huawei Y5,2019 - 4 cores - 5.71 inch - 16GB - black - 51093SHG,144,,,1
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-11-pro-max-mwhk2zda,Apple iPhone 11 Pro Max,6 cores - 6.5 inch - 256GB - Silver - MWHK2ZD/A,536, ,,1
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-11-pro-max-mwhg2zda,Apple iPhone 11 Pro Max,6 cores - 6.5 inch - 64GB - Gold - MWHG2ZD/A,486, ,,1
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-11-pro-max-mwhr2zda,Apple iPhone 11 Pro Max,6 cores - 6.5 inch - 512GB - Midnightgreen - MWHR2ZD/A,606,576,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-samsung-galaxy-s10-sm-g975fzbdphn,Samsung Galaxy S10,2019 - 8 cores - 6.4 inch - 128GB - Blue - SM-G975FZBDPHN,399, ,,1
https://www.device-specs.io/categories/smartphones/specifications-xiaomi-redmi-note-11-pro-37997,Xiaomi Redmi Note 11 Pro,8 cores - 6.67 inch - 64GB - Blue - 37997,319.95, ,,1
https://www.device-specs.io/categories/smartphones/specifications-motorola-moto-g72-pavg0013se,Motorola Moto G72,8 cores - 6.6 inch - 128GB - Blue - PAVG0013SE,348.37, ,,1
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-12-mgja3fa,Apple iPhone 12,2020 - 6 cores - 6.1 inch - 128GB - Black - MGJA3F/A,773,,EUR,1
https://www.device-specs.io/categories/smartphones/specifications-xiaomi-redmi-note-11-pro-6934177769719,Xiaomi Redmi Note 11 Pro,2022 - 8 cores - 6.67 inch - 64GB - White - 6934177769719,319.95, ,,1
https://www.device-specs.io/categories/smartphones/specifications-google-pixel-7-pro-12-ga03467-gb,Google Pixel 7 Pro 12,8 cores - 6 inch - 256GB - Green - GA03467-GB,1099, ,,1
https://www.device-specs.io/categories/smartphones/specifications-xiaomi-11-lite-mzb09tfeu,Xiaomi 11 Lite,8 cores - 6.55 inch - 256GB - White - MZB09TFEU,389.95, ,,1
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-12-mgj53fa,Apple iPhone 12,2020 - 6 cores - 6.1 inch - 64GB - Black - MGJ53F/A,699, ,,1
https://www.device-specs.io/categories/smartphones/specifications-motorola-moto-e20-motoe20232bl,Motorola moto e20,2021 - 8 cores - 6.5 inch - 32GB - Blue - MOTOE20232BL,109, ,,1
https://www.device-specs.io/categories/smartphones/specifications-xiaomi-redmi-10-mzb09pieu,Xiaomi Redmi 10,2021 - 8 cores - 6.5 inch - 128GB - Gray - MZB09PIEU,204.95, ,,1
https://www.device-specs.io/categories/smartphones/specifications-oneplus-nord-2-5011101840,Oneplus Nord 2,2020 - 8 cores - 6.43 inch - 128GB - Blue - 5011101840,362, ,,1
https://www.device-specs.io/categories/smartphones/specifications-oneplus-11-5011102202,Oneplus 11,2023 - Qualcomm Snapdragon 8 Gen2 - 8 cores - 6.7 inch - 256GB - Green - 5011102202,899, ,,1
https://www.device-specs.io/categories/smartphones/specifications-xiaomi-redmi-note-11-pro-mzb0areeu,Xiaomi Redmi Note 11 Pro,2022 - MediaTek Helio G96 - 8 cores - 6.67 inch - 128GB - Gray - MZB0AREEU,350, ,,1
https://www.device-specs.io/categories/smartphones/specifications-motorola-moto-e22-pavd0003se,Motorola Moto E22,2022 - 8 cores - 6.5 inch - 32GB - Black - PAVD0003SE,123, ,,1
https://www.device-specs.io/categories/smartphones/specifications-apple-iphone-13-pro-max-mlh43zaa,Apple iPhone 13 Pro Max,2021 - 6 cores - 6.7 inch - 128GB - Graphite - MLH43ZA/A,1299, ,,1
